user1,2019-07-03 00:00:00,v1,v4
user1,2019-07-03 00:01:00,v4,v2
user1,2019-07-03 00:01:10,v4,v6
user1,2019-07-03 00:01:20,v4,v6
user1,2019-07-03 00:02:00,v6,v9
user1,2019-07-03 03:00:00,v8,v10
user1,2019-07-03 03:01:00,v8,v5
user2,2019-07-05 12:00:00,v3,v5
user2,2019-07-05 12:00:30,v5,v7
user2,2019-07-05 12:00:45,v7,v9
user2,2019-07-05 12:01:00,v9,v6
user3,2019-07-05 18:00:00,v10,v5
user3,2019-07-05 18:01:15,v10,v7
user3,2019-07-05 18:03:35,v10,v9
user3,2019-07-05 18:06:00,v7,v4
user3,2019-07-05 18:07:22,v5,v2
